participant_id,member,raw_rows,source_epochs,source_duration_hours,inferred_sample_rate_hz,maximum_epoch_gap_seconds,irregular_epoch_gaps,wake_time,main_sleep_start,main_sleep_end,main_sleep_hours,selected_window_start,selected_window_end,annotated_epoch_percent,observed_24h_bins,missing_24h_minutes,mean_enmo_mg_observed,processing_seconds
P001,capture24/P001.csv.gz,10020001,20040,27.833333333333332,100.00000998003992,5.0,0,2016-11-13T06:25:05+00:00,2016-11-13T02:18:00+00:00,2016-11-13T06:25:05+00:00,4.118055555555555,2016-11-13T02:18:00+00:00,2016-11-14T02:18:00+00:00,75.16966067864271,17280,0.0,31.391826629638672,23.9127995967865
P002,capture24/P002.csv.gz,8820001,17640,24.5,100.00001133786849,5.0,0,2016-05-21T05:03:05+00:00,2016-05-21T01:53:00+00:00,2016-05-21T05:03:05+00:00,3.1680555555555556,2016-05-21T01:53:00+00:00,2016-05-22T01:53:00+00:00,64.25170068027211,17280,0.0,49.66371536254883,17.552911281585693
P003,capture24/P003.csv.gz,9720001,19440,27.0,100.00001028806584,5.0,0,2016-01-13T04:45:05+00:00,2016-01-13T00:45:00+00:00,2016-01-13T04:45:05+00:00,4.001388888888889,2016-01-13T00:45:00+00:00,2016-01-14T00:45:00+00:00,61.40432098765432,17280,0.0,52.113067626953125,21.76350998878479
P004,capture24/P004.csv.gz,7791785,15583,21.643055555555556,100.0036578322531,5.0,0,2016-11-22T04:46:05+00:00,2016-11-22T02:46:00+00:00,2016-11-22T04:46:05+00:00,2.001388888888889,2016-11-22T02:46:00+00:00,2016-11-23T00:24:35+00:00,72.50208560610922,15583,141.41666666666666,23.82407569885254,18.898325443267822
P005,capture24/P005.csv.gz,9900001,19800,27.5,100.0000101010101,5.0,0,2016-02-08T05:07:05+00:00,2016-02-08T00:27:00+00:00,2016-02-08T05:07:05+00:00,4.668055555555555,2016-02-08T00:27:00+00:00,2016-02-09T00:27:00+00:00,70.72727272727273,17280,0.0,34.744747161865234,21.533933401107788
P006,capture24/P006.csv.gz,11430001,22860,31.75,100.00000874890638,5.0,0,2016-02-21T06:31:05+00:00,2016-02-20T22:56:00+00:00,2016-02-21T06:31:05+00:00,7.584722222222222,2016-02-20T22:56:00+00:00,2016-02-21T22:56:00+00:00,71.67541557305337,17280,0.0,30.45051383972168,23.273900985717773
P007,capture24/P007.csv.gz,10080001,20160,28.0,100.00000992063492,5.0,0,2016-06-30T05:47:00+00:00,2016-06-30T01:37:00+00:00,2016-06-30T05:47:00+00:00,4.166666666666667,2016-06-29T05:47:00+00:00,2016-06-30T05:47:00+00:00,75.9126984126984,17280,0.0,53.954708099365234,21.875481843948364
P008,capture24/P008.csv.gz,9585588,19171,28.499758333333336,93.42757584786537,6749.129999872,1,2016-03-10T04:09:05+00:00,2016-03-09T22:09:00+00:00,2016-03-10T04:09:05+00:00,6.001388888888889,2016-03-09T22:09:00+00:00,2016-03-10T22:09:00+00:00,69.79813259610872,15931,112.41666666666667,19.832534790039062,21.03833794593811
P009,capture24/P009.csv.gz,7307852,14615,20.29861111111111,100.0048169688676,5.0,0,2016-05-10T03:25:05+00:00,2016-05-10T01:25:00+00:00,2016-05-10T03:25:05+00:00,2.001388888888889,2016-05-10T01:25:00+00:00,2016-05-10T21:42:55+00:00,31.419774204584332,14615,222.08333333333334,36.977603912353516,13.119808673858643
P010,capture24/P010.csv.gz,9180001,18360,25.5,100.00001089324618,5.0,0,2016-12-15T06:22:05+00:00,2016-12-15T02:04:00+00:00,2016-12-15T06:22:05+00:00,4.301388888888889,2016-12-15T02:04:00+00:00,2016-12-16T02:04:00+00:00,69.31917211328977,17280,0.0,28.660850524902344,24.59840440750122
P011,capture24/P011.csv.gz,9720001,19440,27.0,100.00001028806584,5.0,0,2016-06-20T08:23:05+00:00,2016-06-20T01:43:00+00:00,2016-06-20T08:23:05+00:00,6.668055555555555,2016-06-20T01:43:00+00:00,2016-06-21T01:43:00+00:00,62.49485596707819,17280,0.0,20.391319274902344,19.066089868545532
P012,capture24/P012.csv.gz,9450001,18900,26.25,100.00001058201059,5.0,0,2016-06-11T04:22:05+00:00,2016-06-10T23:47:00+00:00,2016-06-11T04:22:05+00:00,4.584722222222222,2016-06-10T23:47:00+00:00,2016-06-11T23:47:00+00:00,73.11640211640211,17280,0.0,59.96339797973633,19.672914743423462
P013,capture24/P013.csv.gz,8461601,16923,23.504166666666666,100.00119364178929,5.0,0,2016-02-28T04:51:05+00:00,2016-02-28T00:11:00+00:00,2016-02-28T04:51:05+00:00,4.668055555555555,2016-02-28T00:11:00+00:00,2016-02-28T23:41:15+00:00,74.68533947881582,16923,29.75,26.14120101928711,18.62401247024536
P014,capture24/P014.csv.gz,9990001,19980,27.75,100.00001001001002,5.0,0,2016-01-09T04:53:00+00:00,2016-01-09T01:08:00+00:00,2016-01-09T04:53:00+00:00,3.75,2016-01-08T04:53:00+00:00,2016-01-09T04:53:00+00:00,70.49049049049049,17280,0.0,28.267131805419922,21.204930782318115
P015,capture24/P015.csv.gz,9360001,18720,26.0,100.00001068376068,5.0,0,2016-06-09T06:52:05+00:00,2016-06-09T01:32:00+00:00,2016-06-09T06:52:05+00:00,5.334722222222222,2016-06-09T01:32:00+00:00,2016-06-10T01:32:00+00:00,59.35363247863248,17280,0.0,21.200687408447266,19.2099711894989
P016,capture24/P016.csv.gz,8874001,17748,25.65,96.10137535196014,3605.0,1,2016-11-12T05:58:05+00:00,2016-11-12T02:49:00+00:00,2016-11-12T05:58:05+00:00,3.151388888888889,2016-11-12T02:49:00+00:00,2016-11-13T02:49:00+00:00,66.4694613477575,16560,60.0,74.52911376953125,19.59521746635437
P017,capture24/P017.csv.gz,9720001,19440,28.0,96.42858134920635,3605.0,1,2016-10-31T06:28:05+00:00,2016-10-31T02:28:05+00:00,2016-10-31T06:28:05+00:00,4.0,2016-10-31T02:28:05+00:00,2016-11-01T02:28:05+00:00,70.56584362139918,17280,0.0,33.52464294433594,22.79664921760559
P018,capture24/P018.csv.gz,8910001,17820,24.75,100.00001122334456,5.0,0,2016-05-21T01:53:00+00:00,2016-05-20T23:43:00+00:00,2016-05-21T01:53:00+00:00,2.1666666666666665,2016-05-20T01:53:00+00:00,2016-05-21T01:53:00+00:00,45.258136924803594,17280,0.0,24.77504539489746,16.484277963638306
P019,capture24/P019.csv.gz,9570001,19140,26.583333333333332,100.0000104493208,5.0,0,2016-06-04T06:17:05+00:00,2016-06-03T23:27:00+00:00,2016-06-04T06:17:05+00:00,6.834722222222222,2016-06-03T23:27:00+00:00,2016-06-04T23:27:00+00:00,71.30616509926855,17280,0.0,35.326927185058594,20.81137228012085
P020,capture24/P020.csv.gz,7920001,15840,22.0,100.00001262626263,5.0,0,2016-09-28T06:46:05+00:00,2016-09-28T05:06:00+00:00,2016-09-28T06:46:05+00:00,1.6680555555555556,2016-09-28T05:06:00+00:00,2016-09-29T03:06:00+00:00,60.70707070707071,15840,120.0,22.197031021118164,18.441988945007324
P021,capture24/P021.csv.gz,9540001,19080,26.5,100.00001048218029,5.0,0,2016-05-07T02:39:05+00:00,2016-05-06T23:19:00+00:00,2016-05-07T02:39:05+00:00,3.334722222222222,2016-05-06T23:19:00+00:00,2016-05-07T23:19:00+00:00,67.65723270440252,17280,0.0,31.502763748168945,20.401639223098755
