"m","m_over_n","quantity","median","q90"
500,1.66666666666667,"alpha",0.158934148908967,0.402686250409975
500,1.66666666666667,"Delta",0.000880024590084381,0.00225338703831697
500,1.66666666666667,"r2",0.00295325207803306,0.0077777682545902
500,1.66666666666667,"theta",0.054788204460219,0.099824652747376
1000,3.33333333333333,"alpha",0.0786469455191205,0.200367346819353
1000,3.33333333333333,"Delta",0.000421168953148744,0.00111598131844132
1000,3.33333333333333,"r2",0.00148374842924803,0.0039187269177363
1000,3.33333333333333,"theta",0.0280924940295009,0.0508372836410101
1500,5,"alpha",0.051811073139565,0.132524079471518
1500,5,"Delta",0.000279241267986503,0.000737847099276478
1500,5,"r2",0.000992034173836319,0.00260289289004836
1500,5,"theta",0.0188237516984089,0.0340411433057196
2000,6.66666666666667,"alpha",0.0388530768547746,0.0996802726576014
2000,6.66666666666667,"Delta",0.000208761755409422,0.000556171257594565
2000,6.66666666666667,"r2",0.000743419771147166,0.00194438378543966
2000,6.66666666666667,"theta",0.0141835263658516,0.0255534123253298
3000,10,"alpha",0.0258689725353431,0.0660456780185856
3000,10,"Delta",0.000140813515788766,0.000368338047329888
3000,10,"r2",0.000497267979668401,0.00129419003044384
3000,10,"theta",0.00950146509885413,0.0170659857756853
