"n","method","replications","truth","mean","bias","empirical_sd","rmse","relative_bias","relative_bias_percent","source_run_id","comparison","scenario","score_distribution","p","spike_index"
150,"FPCA",2000,6,6.95250012490647,0.952500124906468,0.678983605757468,1.16963443667917,0.158750020817745,15.8750020817745,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_fpca_eigenvalue",,,,
300,"FPCA",1500,6,6.89508165885985,0.895081658859848,0.484287106924318,1.01761919299861,0.149180276476641,14.9180276476641,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_fpca_eigenvalue",,,,
600,"FPCA",1000,6,6.86639728078957,0.866397280789574,0.343606971419315,0.931982796631308,0.144399546798262,14.4399546798262,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_fpca_eigenvalue",,,,
150,"Proposed",2000,6,6.35926095141913,0.359260951419129,0.712304257357265,0.797616510352148,0.0598768252365215,5.98768252365215,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_fpca_eigenvalue",,,,
300,"Proposed",1500,6,6.16864365979944,0.168643659799444,0.500340993440496,0.527839842787969,0.0281072766332407,2.81072766332407,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_fpca_eigenvalue",,,,
600,"Proposed",1000,6,6.0752891537409,0.0752891537408954,0.352331485640012,0.360113586203777,0.0125481922901492,1.25481922901492,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_fpca_eigenvalue",,,,
150,"FPCA",2000,0.6,0.53653414888108,-0.0634658511189196,0.0768859312134725,0.0996815176128574,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_direction_comparison",,,,
300,"FPCA",1500,0.6,0.547063086302816,-0.0529369136971842,0.0489316316144387,0.0720765232318122,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_direction_comparison",,,,
600,"FPCA",1000,0.6,0.552745477564292,-0.0472545224357077,0.032252317104105,0.0572028114453473,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_direction_comparison",,,,
150,"Proposed",2000,0.6,0.575065089078131,-0.0249349109218686,0.0821041451941833,0.0857873527707903,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_direction_comparison",,,,
300,"Proposed",1500,0.6,0.588163775765388,-0.0118362242346121,0.0523161869730862,0.0536214040092387,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_direction_comparison",,,,
600,"Proposed",1000,0.6,0.595216208670005,-0.00478379132999528,0.0345628023313489,0.0348751684896265,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_direction_comparison",,,,
150,"FPCA",2000,0.45,0.380598169238646,-0.0694018307613538,0.0370705875982501,0.0786775410372915,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_eigenspace_comparison",,,,
300,"FPCA",1500,0.45,0.384187859342755,-0.0658121406572452,0.0258461462604977,0.0707023039621556,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_eigenspace_comparison",,,,
600,"FPCA",1000,0.45,0.386140728069847,-0.0638592719301532,0.0180350385507746,0.0663546830627775,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_eigenspace_comparison",,,,
150,"Proposed",2000,0.45,0.438810161796218,-0.0111898382037822,0.0422428076957118,0.0436895302520261,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_eigenspace_comparison",,,,
300,"Proposed",1500,0.45,0.444751742186835,-0.00524825781316529,0.0293677052232945,0.0298233355850032,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_eigenspace_comparison",,,,
600,"Proposed",1000,0.45,0.447879344465205,-0.00212065553479509,0.0207134381997056,0.0208114068584569,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6","large_domain_eigenspace_comparison",,,,
150,"FPCA",2000,4,6.03045663831251,2.03045663831251,0.385746014724092,2.06675585107407,0.507614159578126,50.7614159578126,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg004232d3","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",50,2
300,"FPCA",1500,4,5.88173257318217,1.88173257318216,0.294513257754495,1.90462534651707,0.470433143295541,47.0433143295541,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg004232d3","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",100,2
