"n","delta","replications","true_relative_gap","fpca_mean","proposed_mean","fpca_bias","proposed_bias","fpca_rmse","proposed_rmse","proposed_coverage","proposed_mean_ci_length","fpca_gap_wald_status","fpca_gap_wald_use","fpca_rejection_rate","fpca_anderson_rejection_rate","proposed_rejection_rate","proposed_upper_coverage","proposed_raw_interval_empty_rate","mean_Delta_pool","mean_r2_pool","mean_absolute_HC_proposed_p_difference","valid_fraction","source_run_id"
150,0,2000,0,0.172503676773811,0.198462887373702,0.172503676773811,0.198462887373702,0.194239061881081,0.223507227151697,0.985,0.467877270650148,"nonregular_local_to_tie","not_for_inference",0.0135,0.014,0.0355,1,0.033,0.952796859222036,0.86988751829754,0.000247493669902086,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
150,0.5,2000,0.0408248290463865,0.180558163070342,0.207743380274926,0.139733334023956,0.166918551228539,0.168185601355227,0.19881409346924,0.978,0.475801056707582,"nonregular_local_to_tie","not_for_inference",0.0215,0.0245,0.0505,1,0.0205,0.952814250833663,0.870049123188633,0.000257655907198781,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
150,1,2000,0.0816496580927727,0.188573003578142,0.216909581150057,0.106923345485369,0.135259923057284,0.143868330615111,0.174825239046776,0.981,0.488085302734889,"nonregular_local_to_tie","not_for_inference",0.0255,0.027,0.057,0.9935,0.0235,0.952800849945347,0.870007597859382,0.000272377330401131,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
150,2,2000,0.163299316185545,0.214082684585556,0.246318967401911,0.0507833684000108,0.0830196512163655,0.119364836924499,0.149362001462468,0.969,0.516103998778672,"nonregular_local_to_tie","not_for_inference",0.0575,0.057,0.1105,0.9845,0.017,0.952728102513904,0.869611047737574,0.000305267417838884,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
150,3,2000,0.244948974278318,0.254798225262412,0.293098724443557,0.00984925098409387,0.0481497501652385,0.120122509312994,0.145637992598224,0.965,0.559177437741424,"nonregular_local_to_tie","not_for_inference",0.1235,0.128,0.2085,0.961,0.009,0.952798725919531,0.869933387177469,0.000336235065680427,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
300,0,2000,0,0.125503121519197,0.145149822299219,0.125503121519197,0.145149822299219,0.141288262868641,0.163423471998656,0.981,0.334321507221953,"nonregular_local_to_tie","not_for_inference",0.017,0.016,0.045,1,0.0255,0.967751896824114,0.865039419456019,0.000140750672986732,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
300,0.5,2000,0.0288675134594813,0.130611597762389,0.151015030079212,0.101744084302907,0.122147516619731,0.121732265651599,0.144562492387789,0.973,0.340204779990848,"nonregular_local_to_tie","not_for_inference",0.025,0.025,0.054,1,0.019,0.967796896441234,0.865245632416239,0.000146256603285665,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
300,1,2000,0.0577350269189627,0.132709323803064,0.153435797535068,0.0749742968841011,0.095700770616105,0.101374552153965,0.123993839302335,0.9795,0.343240948030041,"nonregular_local_to_tie","not_for_inference",0.0225,0.022,0.056,0.9905,0.021,0.967771187912864,0.865171692928211,0.000149368211902263,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
300,2,2000,0.115470053837925,0.152408618227702,0.176260365486893,0.0369385643897767,0.0607903116489685,0.0851967811806977,0.107638628704295,0.9715,0.365614419479168,"nonregular_local_to_tie","not_for_inference",0.0595,0.062,0.1155,0.983,0.016,0.967767687363061,0.865114872366297,0.000166316616506616,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
300,3,2000,0.173205080756888,0.183468118558579,0.212163687563054,0.0102630378016913,0.0389586068061658,0.082444542240991,0.102282270011561,0.971,0.400288596197755,"nonregular_local_to_tie","not_for_inference",0.1245,0.126,0.217,0.9685,0.0105,0.967763418973769,0.865109050986509,0.000188828985385202,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
600,0,2000,0,0.0877533865944336,0.101769149484871,0.0877533865944336,0.101769149484871,0.0988404914689756,0.114640511400666,0.977,0.235370969980195,"nonregular_local_to_tie","not_for_inference",0.018,0.016,0.0405,1,0.0325,0.975128649588374,0.862501744345245,7.39970341947528e-05,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
600,0.5,2000,0.0204124145231931,0.0910235567645041,0.105500829631505,0.070611142241311,0.0850884151083122,0.0844153992691035,0.100554027430261,0.977,0.23922491664951,"nonregular_local_to_tie","not_for_inference",0.0175,0.0195,0.0575,1,0.024,0.975211261819644,0.862829067604219,7.59260376524363e-05,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
600,1,2000,0.0408248290463865,0.0937195261263051,0.108636145058157,0.0528946970799187,0.067811316011771,0.0722804910752395,0.0886348558428261,0.973,0.241836299351718,"nonregular_local_to_tie","not_for_inference",0.0275,0.028,0.0695,0.9965,0.0235,0.9751977545546,0.86276921504552,7.67890469855217e-05,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
600,2,2000,0.0816496580927727,0.110371815377661,0.127996093103403,0.0287221572848884,0.0463464350106304,0.0604605295694984,0.0771675571862395,0.9665,0.262190761268196,"nonregular_local_to_tie","not_for_inference",0.061,0.059,0.1225,0.9815,0.016,0.975136831182741,0.862523922296778,9.15842520059063e-05,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
600,3,2000,0.122474487139159,0.131923425395815,0.152978988599501,0.00944893825665627,0.030504501460342,0.0585912988097827,0.0736213234897601,0.963,0.284180705826188,"nonregular_local_to_tie","not_for_inference",0.1275,0.13,0.226,0.974,0.005,0.97513304774836,0.862538532535053,0.00010047425414481,1,"experiment_3d_eigengap_inference_n-values150-300-600_replications150x2000-300x2000-600x2000_delta-grid0-0p5-1-2-3_pair-alpha6_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distribution_cfg003d693a"
