"n","delta","method","value"
150,0,"FPCA",0.0135
150,0.5,"FPCA",0.0215
150,1,"FPCA",0.0255
150,2,"FPCA",0.0575
150,3,"FPCA",0.123
300,0,"FPCA",0.0153333333333333
300,0.5,"FPCA",0.0273333333333333
300,1,"FPCA",0.024
300,2,"FPCA",0.0546666666666667
300,3,"FPCA",0.124
600,0,"FPCA",0.018
600,0.5,"FPCA",0.019
600,1,"FPCA",0.031
600,2,"FPCA",0.05
600,3,"FPCA",0.126
150,0,"Anderson",0.014
150,0.5,"Anderson",0.0245
150,1,"Anderson",0.027
150,2,"Anderson",0.057
150,3,"Anderson",0.128
300,0,"Anderson",0.014
300,0.5,"Anderson",0.0273333333333333
300,1,"Anderson",0.0233333333333333
300,2,"Anderson",0.06
300,3,"Anderson",0.123333333333333
600,0,"Anderson",0.019
600,0.5,"Anderson",0.019
600,1,"Anderson",0.031
600,2,"Anderson",0.049
600,3,"Anderson",0.127
150,0,"Proposed",0.0355
150,0.5,"Proposed",0.0505
150,1,"Proposed",0.057
150,2,"Proposed",0.1105
150,3,"Proposed",0.2085
300,0,"Proposed",0.0433333333333333
300,0.5,"Proposed",0.056
300,1,"Proposed",0.0606666666666667
300,2,"Proposed",0.114666666666667
300,3,"Proposed",0.226
600,0,"Proposed",0.041
600,0.5,"Proposed",0.06
600,1,"Proposed",0.079
600,2,"Proposed",0.103
600,3,"Proposed",0.219
