"setting","quantity","coverage_percent"
"F1_diagonal / Gaussian","alpha",96.6
"F1_diagonal / t12","alpha",92.9
"F1_diagonal / Uniform","alpha",100
"F2_block / Gaussian","alpha",96.6
"F2_block / t12","alpha",96.8
"F2_block / Uniform","alpha",98.1
"F3_Haar / Gaussian","alpha",95.85
"F3_Haar / t12","alpha",97.05
"F3_Haar / Uniform","alpha",96.05
"F1_diagonal / Gaussian","Delta",79.8
"F1_diagonal / t12","Delta",78.7
"F1_diagonal / Uniform","Delta",88
"F2_block / Gaussian","Delta",0
"F2_block / t12","Delta",0
"F2_block / Uniform","Delta",0
"F3_Haar / Gaussian","Delta",79.7
"F3_Haar / t12","Delta",82.85
"F3_Haar / Uniform","Delta",79.25
"F1_diagonal / Gaussian","r2",82.1
"F1_diagonal / t12","r2",80.8
"F1_diagonal / Uniform","r2",91.8
"F2_block / Gaussian","r2",56.8
"F2_block / t12","r2",58.8
"F2_block / Uniform","r2",55.7
"F3_Haar / Gaussian","r2",81.65
"F3_Haar / t12","r2",84.15
"F3_Haar / Uniform","r2",82.3
