"normal_quantile","empirical_quantile"
-3.4029328353853,-2.95586907868411
-3.09023230616781,-2.78372751871351
-2.93519946886671,-2.6929916523878
-2.82918532685352,-2.56037332858029
-2.74778138544499,-2.51841376852384
-2.68131553172516,-2.50187915309847
-2.62493045607371,-2.40667672045822
-2.5758293035489,-2.36208087276642
-2.53224944813996,-2.35359768338638
-2.49300610967025,-2.284848637651
-2.45726339020544,-2.28267435587316
-2.42440881813204,-2.2704668518518
-2.39397979981851,-2.26383966471573
-2.36561812686429,-2.24437264801401
-2.33904058147661,-2.2390920316713
-2.31401924210648,-2.2264081098082
-2.29036787785527,-2.18637652946627
-2.26793229945836,-2.1563170616191
-2.24658335900282,-2.14523871320446
-2.22621176931718,-2.07794950308817
-2.2067242021743,-2.07418741261436
-2.18804030344137,-2.0472270116918
-2.17009037758456,-2.02616793449004
-2.15281356870043,-2.01655220994904
-2.13615641524579,-2.01201093332134
-2.12007168974215,-2.00039770119516
-2.10451745841315,-1.99747759098986
-2.08945631242749,-1.97640117221912
-2.07485473439331,-1.96889177449976
-2.06068257244429,-1.95899806427375
-2.04691260065176,-1.93385740813435
-2.03352014925305,-1.8757142794299
-2.0204827917634,-1.8702984651071
-2.00778007875478,-1.85911870152352
-1.99539331016782,-1.83411885040412
-1.98330533963357,-1.83098578180959
-1.97150040553684,-1.82686081784148
-1.95996398454005,-1.82461623157462
-1.94868266406637,-1.82411667286725
-1.93764403086297,-1.80843216974442
-1.92683657326391,-1.79762333325102
-1.91624959517396,-1.78583278151887
-1.90587314012117,-1.7784651568146
-1.89569792399184,-1.76940874364195
-1.88571527527979,-1.762931828852
-1.87591708186162,-1.76198139978967
-1.86629574345811,-1.76006518038772
-1.85684412906592,-1.75133645463095
-1.84755553874675,-1.74924592386634
-1.83842366924778,-1.74077897472744
-1.82944258299993,-1.719149694893
-1.82060668010226,-1.70842252164118
-1.8119106729526,-1.70515448719745
-1.8033495632291,-1.70266254655683
-1.79491862096532,-1.69606758814016
-1.78661336549347,-1.69560808306864
-1.77842954805874,-1.68218271473614
-1.77036313593116,-1.66172535820041
-1.76241029786239,-1.65502958510113
-1.75456739075262,-1.65485291992465
-1.74683094740835,-1.64313290501295
-1.73919766528525,-1.64222314338579
-1.73166439612225,-1.63532985420667
-1.72422813638311,-1.6285931962367
-1.71688601843104,-1.62508595518398
-1.70963530236957,-1.62329193159033
-1.70247336849002,-1.62034796794441
-1.69539771027214,-1.59122738021317
-1.68840592788974,-1.58471665113854
-1.68149572217813,-1.57922898665324
-1.67466488902433,-1.57816436044884
-1.66791131414484,-1.5480947298797
-1.66123296821931,-1.54161370493386
-1.65462790235108,-1.53944101770674
-1.64809424382866,-1.53461422086773
-1.64163019216438,-1.52943757793999
-1.63523401538865,-1.524060048245
-1.62890404658028,-1.52139552272925
-1.62263868061485,-1.51488207777689
-1.61643637111502,-1.50044572331586
-1.61029562758768,-1.49987486154164
-1.60421501273442,-1.49640178529505
-1.59819313992282,-1.49420120472234
-1.59222867080707,-1.49383075243006
-1.58632031308752,-1.48530389155192
-1.58046681839936,-1.48172217382743
-1.57466698032173,-1.4780016550739
-1.56891963249893,-1.47483038787022
-1.56322364686628,-1.4671798368706
-1.55757793197375,-1.46637534875987
-1.55198143140083,-1.45657696665132
-1.54643312225675,-1.45531051786741
-1.5409320137606,-1.45349482052669
-1.53547714589635,-1.44933948397099
-1.53006758813783,-1.44191717609673
-1.52470243823962,-1.43242839705972
-1.51938082108956,-1.42150600218508
-1.51410188761928,-1.417524266281
-1.50886481376916,-1.41088945788786
-1.50366879950451,-1.40330541644153
-1.49851306787998,-1.39777120820045
-1.49339686414932,-1.38785573287711
-1.48831945491792,-1.38755556239354
-1.48328012733562,-1.37605826963073
-1.47827818832758,-1.37297448316332
-1.47331296386098,-1.36104797887216
-1.46838379824566,-1.35895595182955
-1.4634900534667,-1.35226959939941
-1.45863110854737,-1.34989690452076
-1.45380635894057,-1.34952671431748
-1.4490152159475,-1.34742279665849
-1.44425710616187,-1.34697951848032
-1.43953147093846,-1.34534339111336
-1.4348377658847,-1.34294848966004
-1.43017546037413,-1.33989832000233
-1.42554403708045,-1.33243516217239
-1.42094299153141,-1.32836319563933
-1.41637183168123,-1.3162000255801
-1.41183007750081,-1.31343644224857
-1.40731726058482,-1.31233102972208
-1.40283292377481,-1.31065630075491
-1.3983766207975,-1.29912447141516
-1.3939479159177,-1.29812553665948
-1.38954638360497,-1.29692337962155
-1.38517160821344,-1.29628765996642
-1.38082318367416,-1.2943941999865
-1.37650071319949,-1.28943559238267
-1.37220380899873,-1.27870572458015
-1.36793209200476,-1.27591308777894
-1.36368519161101,-1.26373173978731
-1.35946274541826,-1.26002176547423
-1.35526439899101,-1.2487816686221
-1.35108980562281,-1.24716980157971
-1.34693862611028,-1.24281556498583
-1.34281052853528,-1.24242837150724
-1.33870518805512,-1.24158342731739
-1.33462228670019,-1.23093369975688
-1.3305615131789,-1.2229897735342
-1.32652256268947,-1.20436664654454
-1.32250513673844,-1.19858607608064
-1.31850894296539,-1.19411993588883
-1.31453369497389,-1.19373180000617
-1.31057911216813,-1.18886085667267
-1.30664491959526,-1.18699668398259
-1.30273084779302,-1.1835837220133
-1.29883663264251,-1.17821263134627
-1.29496201522591,-1.1691700261057
-1.29110674168896,-1.16363488185288
-1.28727056310794,-1.15691352420704
-1.28345323536102,-1.15219769012933
-1.27965451900386,-1.15169578032353
-1.27587417914913,-1.14388157327645
-1.27211198535006,-1.13200595365492
-1.26836771148758,-1.13151279441712
-1.26464113566108,-1.12277704222912
-1.26093204008267,-1.11972145557194
-1.2572402109747,-1.11923451545837
-1.25356543847045,-1.11429563488633
-1.24990751651799,-1.10759265888958
-1.2462662427869,-1.09756461653933
-1.24264141857788,-1.08826882138393
-1.23903284873511,-1.0882273067621
-1.23544034156125,-1.08816160429712
-1.23186370873498,-1.08033274708538
-1.22830276523102,-1.07478749266493
-1.22475732924248,-1.06456933993664
-1.22122722210557,-1.06393664574175
-1.21771226822641,-1.0627535375078
-1.21421229501006,-1.06086903781405
-1.2107271327916,-1.05897635732243
-1.20725661476908,-1.0558979215845
-1.20380057693857,-1.05416246965067
-1.20035885803086,-1.04855283534646
-1.19693129945012,-1.03891921648398
-1.19351774521416,-1.02872775239285
-1.19011804189642,-1.02385796632726
-1.18673203856958,-1.01238370438524
-1.18335958675067,-1.01113977884329
-1.18000054034773,-1.01102082499977
-1.17665475560792,-1.00957674722594
-1.17332209106706,-1.00806315225787
-1.17000240750048,-1.00760685099302
-1.16669556787521,-1.00616175667561
-1.16340143730351,-1.00314261840547
-1.16011988299752,-0.978190543178006
-1.1568507742252,-0.976615621910454
-1.15359398226739,-0.975962307484316
-1.15034938037601,-0.973340898903718
-1.1471168437333,-0.97044770050909
-1.14389624941219,-0.970171439777663
-1.14068747633762,-0.96406765510909
-1.13749040524889,-0.959687155504787
-1.13430491866296,-0.955826816895635
-1.13113090083863,-0.953878189131312
-1.12796823774175,-0.947305189376282
-1.12481681701115,-0.944147827286112
-1.12167652792549,-0.938250965626533
-1.11854726137097,-0.935990039723055
-1.11542890980978,-0.930494965889115
-1.11232136724931,-0.925767692427784
-1.10922452921219,-0.922107978381789
-1.10613829270698,-0.921752013312552
-1.1030625561996,-0.921560436429495
-1.09999721958547,-0.917653953902917
-1.09694218416229,-0.911447777439185
