"normal_quantile","empirical_quantile"
-3.4029328353853,-1.60108873149827
-3.09023230616781,-1.46286505275061
-2.93519946886671,-1.45416779759863
-2.82918532685352,-1.41936495998814
-2.74778138544499,-1.39276155881353
-2.68131553172516,-1.39275796053634
-2.62493045607371,-1.38520259320387
-2.5758293035489,-1.37349490774917
-2.53224944813996,-1.36403434545817
-2.49300610967025,-1.36221876873996
-2.45726339020544,-1.34712615033518
-2.42440881813204,-1.34464444148741
-2.39397979981851,-1.33880776538557
-2.36561812686429,-1.33691248425959
-2.33904058147661,-1.33312819021389
-2.31401924210648,-1.30084513656503
-2.29036787785527,-1.28937284017979
-2.26793229945836,-1.26983292613351
-2.24658335900282,-1.26581118384198
-2.22621176931718,-1.26077810250539
-2.2067242021743,-1.25134967395378
-2.18804030344137,-1.24892928699265
-2.17009037758456,-1.24468292298559
-2.15281356870043,-1.24118901014249
-2.13615641524579,-1.23917497977221
-2.12007168974215,-1.23861080946637
-2.10451745841315,-1.23729530645135
-2.08945631242749,-1.23571087350405
-2.07485473439331,-1.22941304813877
-2.06068257244429,-1.2264171740418
-2.04691260065176,-1.22317502641464
-2.03352014925305,-1.212134771833
-2.0204827917634,-1.20741870617259
-2.00778007875478,-1.20659331675232
-1.99539331016782,-1.20208799566121
-1.98330533963357,-1.20126718844821
-1.97150040553684,-1.19992219056753
-1.95996398454005,-1.19849930580763
-1.94868266406637,-1.19677024875582
-1.93764403086297,-1.19500422749934
-1.92683657326391,-1.19287443077907
-1.91624959517396,-1.19166675033112
-1.90587314012117,-1.18814453802891
-1.89569792399184,-1.18296478384995
-1.88571527527979,-1.18271143534001
-1.87591708186162,-1.18141945541934
-1.86629574345811,-1.17901344189637
-1.85684412906592,-1.17760033188777
-1.84755553874675,-1.17489696835663
-1.83842366924778,-1.16846838227805
-1.82944258299993,-1.16803126787827
-1.82060668010226,-1.16707061573555
-1.8119106729526,-1.16236697367861
-1.8033495632291,-1.16167800294366
-1.79491862096532,-1.15540596801201
-1.78661336549347,-1.15432889070122
-1.77842954805874,-1.1539268898198
-1.77036313593116,-1.15364165128393
-1.76241029786239,-1.14566396704203
-1.75456739075262,-1.14373604678145
-1.74683094740835,-1.13894153036601
-1.73919766528525,-1.13861996258152
-1.73166439612225,-1.13613761108153
-1.72422813638311,-1.13033121847124
-1.71688601843104,-1.12750775842513
-1.70963530236957,-1.12627640548839
-1.70247336849002,-1.12569341308504
-1.69539771027214,-1.1249000471099
-1.68840592788974,-1.12477427566258
-1.68149572217813,-1.12390385776341
-1.67466488902433,-1.11473404201481
-1.66791131414484,-1.11423085444299
-1.66123296821931,-1.10973095214078
-1.65462790235108,-1.10790023168447
-1.64809424382866,-1.1045199546414
-1.64163019216438,-1.10412765826547
-1.63523401538865,-1.10402593126637
-1.62890404658028,-1.10399451689529
-1.62263868061485,-1.10398237242025
-1.61643637111502,-1.10042392039908
-1.61029562758768,-1.09914160403646
-1.60421501273442,-1.09437197492503
-1.59819313992282,-1.09323673474755
-1.59222867080707,-1.09152009754008
-1.58632031308752,-1.09075445204412
-1.58046681839936,-1.08842401667762
-1.57466698032173,-1.08318633474484
-1.56891963249893,-1.0830413687308
-1.56322364686628,-1.08277370314982
-1.55757793197375,-1.08210995782878
-1.55198143140083,-1.08191209267834
-1.54643312225675,-1.08113053110515
-1.5409320137606,-1.08105341861715
