"normal_quantile","empirical_quantile"
-3.48075640434621,-1.97574925709047
-3.17468352745508,-1.73813983669588
-3.02334143973915,-1.73777389831783
-2.92002794436202,-1.72190787009184
-2.84080371786319,-1.71262698381683
-2.77619033537246,-1.66983284207566
-2.72143076148236,-1.66490625599634
-2.67378731547291,-1.63971690382495
-2.63153544569742,-1.59839945595506
-2.59351642978844,-1.59094991271764
-2.55891305037248,-1.57708863346554
-2.52712672130291,-1.56979916161231
-2.49770547441237,-1.56732663892264
-2.47029942836259,-1.55191145854609
-2.44463202257292,-1.54954674656601
-2.42048074849891,-1.53827914700758
-2.39766384101374,-1.5341095268426
-2.37603084196121,-1.51431730853214
-2.35545575543506,-1.50402169433836
-2.33583198323876,-1.49142674308898
-2.31706851118629,-1.48347433426527
-2.29908699214326,-1.47154595951424
-2.28181948356773,-1.46963763267349
-2.2652066704838,-1.45388544137323
-2.24919645375021,-1.40754601213337
-2.23374281685568,-1.39533341571848
-2.2188049076416,-1.38501561938299
-2.20434628770224,-1.38492215118795
-2.19033431392353,-1.38418842859551
-2.17673962512435,-1.37350002270302
-2.16353571301639,-1.3619406012932
-2.15069856134865,-1.35778677487715
-2.13820634059987,-1.34963297822867
-2.12603914823706,-1.34915628315118
-2.11417878659421,-1.34865107561465
-2.10260857199882,-1.34332924546565
-2.09131317000123,-1.34144609607834
-2.08027845252527,-1.34129549181286
-2.06949137352151,-1.33464681614326
-2.05893986031169,-1.33067901331232
-2.04861271830015,-1.32837364985635
-2.03849954712063,-1.32379443701654
-2.02859066660549,-1.32154146210807
-2.01887705122429,-1.31659397615921
-2.00935027185163,-1.31294475153709
-2.0000024438996,-1.31243205314362
-1.99082618099557,-1.30657686388231
-1.98181455350645,-1.305761810323
-1.97296105131188,-1.30416872054545
-1.96425955031264,-1.30043440477675
-1.9557042822322,-1.297221492972
-1.94728980732913,-1.29226703811509
-1.93901098968895,-1.28530054252672
-1.93086297480741,-1.2839213488064
-1.92284116921399,-1.27921348635043
-1.91494122191615,-1.27432330328853
-1.90715900747184,-1.2734263293164
-1.89949061052133,-1.27173745706045
-1.89193231162931,-1.2703557692017
-1.88448057430605,-1.26531680510421
-1.87713203309123,-1.26381042748669
-1.86988348259743,-1.25902608699368
-1.86273186742165,-1.25873884590495
-1.8556742728434,-1.25546244623262
-1.84870791623669,-1.25156472594885
-1.84183013913087,-1.24693240142796
-1.83503839986221,-1.23723474841601
-1.82833026676415,-1.23708163877583
-1.8217034118492,-1.23288071510872
-1.81515560494052,-1.23186096449184
