"n","method","replications","truth","mean","bias","empirical_sd","rmse","relative_bias","relative_bias_percent","source_run_id","comparison","scenario","score_distribution","p","spike_index"
150,"FPCA",2000,6,6.95250012490647,0.952500124906468,0.678983605757468,1.16963443667917,0.158750020817745,15.8750020817745,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_fpca_eigenvalue",,,,
300,"FPCA",2000,6,6.90068203163019,0.900682031630191,0.483445115390409,1.02216947817206,0.150113671938365,15.0113671938365,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_fpca_eigenvalue",,,,
600,"FPCA",2000,6,6.87084102679051,0.870841026790513,0.340182908799537,0.934896060091788,0.145140171131752,14.5140171131752,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_fpca_eigenvalue",,,,
150,"Proposed",2000,6,6.35926095141913,0.359260951419129,0.712304257357265,0.797616510352148,0.0598768252365215,5.98768252365215,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_fpca_eigenvalue",,,,
300,"Proposed",2000,6,6.1744215892389,0.174421589238903,0.499438502088643,0.528901681555739,0.0290702648731505,2.90702648731505,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_fpca_eigenvalue",,,,
600,"Proposed",2000,6,6.07980822512686,0.0798082251268571,0.348800015754323,0.357728910017935,0.0133013708544762,1.33013708544762,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_fpca_eigenvalue",,,,
150,"FPCA",2000,0.6,0.53653414888108,-0.0634658511189196,0.0768859312134725,0.0996815176128574,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_direction_comparison",,,,
300,"FPCA",2000,0.6,0.547579458150981,-0.0524205418490191,0.0484767088029259,0.0713913825924407,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_direction_comparison",,,,
600,"FPCA",2000,0.6,0.553334505261569,-0.0466654947384306,0.0318877025197003,0.0565153568367165,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_direction_comparison",,,,
150,"Proposed",2000,0.6,0.575065089078131,-0.0249349109218686,0.0821041451941833,0.0857873527707903,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_direction_comparison",,,,
300,"Proposed",2000,0.6,0.588669469370812,-0.0113305306291877,0.0518082711421973,0.0530201455543364,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_direction_comparison",,,,
600,"Proposed",2000,0.6,0.595806212128378,-0.00419378787162197,0.0341163813382967,0.034364711094296,,,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_direction_comparison",,,,
150,"FPCA",2000,0.45,0.380598169238646,-0.0694018307613538,0.0370705875982501,0.0786775410372915,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_eigenspace_comparison",,,,
300,"FPCA",2000,0.45,0.383874992203751,-0.0661250077962487,0.0265190194870485,0.0712420060175956,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_eigenspace_comparison",,,,
600,"FPCA",2000,0.45,0.38562360270096,-0.06437639729904,0.017749517431041,0.0667773043447709,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_eigenspace_comparison",,,,
150,"Proposed",2000,0.45,0.438810161796218,-0.0111898382037822,0.0422428076957118,0.0436895302520261,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_eigenspace_comparison",,,,
300,"Proposed",2000,0.45,0.444434228908432,-0.00556577109156768,0.0301841996080146,0.0306856346010183,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_eigenspace_comparison",,,,
600,"Proposed",2000,0.45,0.447373887405023,-0.00262611259497731,0.0204259943112499,0.0205890529248655,,,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457","large_domain_eigenspace_comparison",,,,
150,"FPCA",2000,4,6.03045663831251,2.03045663831251,0.385746014724092,2.06675585107407,0.507614159578126,50.7614159578126,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",50,2
300,"FPCA",2000,4,5.87853067548208,1.87853067548208,0.292453839404598,1.90114806953208,0.46963266887052,46.963266887052,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",100,2
600,"FPCA",2000,4,5.79704371862657,1.79704371862657,0.216604594827214,1.81004425867995,0.449260929656643,44.9260929656643,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",200,2
150,"Proposed",2000,4,4.10317541217239,0.103175412172391,0.42849364758009,0.440636095083489,0.0257938530430979,2.57938530430979,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",50,2
300,"Proposed",2000,4,4.04904403142435,0.0490440314243482,0.318185959336806,0.321864879390524,0.0122610078560871,1.22610078560871,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",100,2
600,"Proposed",2000,4,4.0200166145038,0.0200166145038044,0.231761123587825,0.232566176933968,0.00500415362595111,0.500415362595111,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244","functional_eigenvalue_fpca_vs_proposed","F3_Haar","Uniform",200,2
