"rank","sample_eigenvalue","fpca_eigenvalue_se","fpca_eigenvalue_ci_lower","fpca_eigenvalue_ci_upper","proposed_alpha","proposed_alpha_se","proposed_alpha_ci_lower","proposed_alpha_ci_upper","hat_Delta","Delta_se","Delta_ci_lower","Delta_ci_upper","Delta_one_sided_lower","hat_r2","r2_se","r2_ci_lower","r2_ci_upper","phase_valid","fpca_simple_gap_wald_valid","fpca_equality_rejected","proposed_equality_rejected","proposed_gap_local_inference_valid","prespecified_cluster_member","componentwise_interpretation_supported","domain_hours"
1,1.65080212076858,0.170410448436103,1.3168037792445,1.98480046229266,1.69097797221151,0.200773151346672,1.29746982650942,2.0844861179136,0.94580883286834,0.000219118579214051,0.945379368344737,0.946238297391944,0.945448414878588,0.968827142988417,0.00381028868930367,0.961359114386681,0.976295171590152,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6
2,1.12340511715036,0.103577176593048,0.920397581407642,1.32641265289308,1.13308453537474,0.134619187697768,0.869235775859073,1.3969332948904,0.944603237511937,0.000549422731243809,0.943526388746412,0.945680086277463,0.943699517539721,0.952742073317821,0.00590342839330325,0.941171566281636,0.964312580354007,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6
3,0.692277486658729,0.104577315486533,0.487309714705241,0.897245258612217,0.675845461798683,0.0805025515720625,0.518063360053863,0.833627563543504,0.939754142677068,0.00203240839187675,0.935770695427113,0.943737589927024,0.936411128362243,0.917447966710937,0.0110055152906837,0.895877553109893,0.939018380311982,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6
4,0.578113666979311,0.0745597998350378,0.431979144608122,0.7242481893505,0.554106102086833,0.066161666424306,0.42443161873804,0.683780585435626,0.935215576588895,0.00358790140237664,0.928183419060156,0.942247734117634,0.929314003954052,0.896378493285314,0.0145294998103293,0.867901196943688,0.924855789626941,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6
5,0.439885289520859,0.0704220193779825,0.301860667821431,0.577909911220286,0.405301598257447,0.0488166272826632,0.309622766936711,0.500980429578182,0.919093780893073,0.0101115764549638,0.899275455214421,0.938912106571725,0.902461717686929,0.846834816299939,0.0249390230197482,0.797955229371617,0.89571440322826,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6
6,0.350870286762482,0.0408500510428252,0.270805657951922,0.430934915573043,0.306677283375516,0.0378418530554,0.232508614278675,0.380845952472357,0.875703653680236,0.0336244204359721,0.809801000624698,0.941606306735774,0.820396403771986,0.765406555313321,0.0515457209585449,0.664378798677422,0.866434311949221,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6
1,2.59188319572135,0.277507112280514,2.04797925019783,3.13578714124487,2.60788588553313,0.309754133890229,2.00077893904588,3.21499283202037,0.94510852852968,0.000403162417079662,0.944318344712283,0.945898712347076,0.944445385365696,0.950943775521325,0.00594651556865256,0.939288819173259,0.962598731869391,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12
2,1.5338203276952,0.170782708663413,1.19909236953272,1.86854828585769,1.48673885577153,0.17696131633455,1.13990104909901,1.83357666244405,0.941133949375283,0.0015510075082214,0.938094030519418,0.944173868231148,0.938582769049956,0.912245316975612,0.0110319216015386,0.890623147956327,0.933867485994897,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,12
3,1.03664234588056,0.128737600697199,0.78432128505795,1.28896340670317,0.956186824184032,0.114486972121788,0.731796482126286,1.18057716624178,0.930062443169878,0.00530024010869155,0.919674163447427,0.940450722892328,0.921344324003383,0.857878763453402,0.0194870427540283,0.819684861490314,0.89607266541649,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12
4,0.81806617415221,0.0971648939021719,0.627626481542297,1.00850586676212,0.719061880708019,0.0870760664529627,0.548395926544796,0.889727834871243,0.90922980772864,0.0139924412227802,0.881805126876197,0.936654488581082,0.886214290033444,0.799192676825557,0.0317331048134838,0.736996934273494,0.86138841937762,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12
5,0.809002598208641,0.100517722467147,0.61199148236504,1.00601371405224,0.709084475530234,0.0859462236388399,0.540632972590883,0.877535978469586,0.907572008223957,0.0147644153902132,0.87863428580635,0.936509730641564,0.883286706019547,0.795479795593235,0.032660317645349,0.731466749284713,0.859492841901757,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12
6,0.768769940736566,0.102441470697442,0.567988347646265,0.969551533826866,0.66454570491534,0.0809495763693395,0.50588745066766,0.82320395916302,0.898585252715579,0.0191399396386828,0.86107166035749,0.936098845073668,0.867102853581259,0.776761601292927,0.037667637084536,0.702934389224512,0.850588813361343,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12
1,2.78196749171654,0.31193651817759,2.17058315062564,3.39335183280744,2.72238630263427,0.323697863920995,2.08795014747657,3.35682245779196,0.943101795289479,0.00095402787199592,0.94123193502012,0.944971655558839,0.941532559084014,0.922903454886047,0.00939380801631298,0.904491929496389,0.941314980275704,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18
2,2.01675947458993,0.217612713765891,1.59024639303076,2.4432725561491,1.90945338845338,0.22758704090367,1.46339098493414,2.35551579197261,0.938559480519742,0.00231471087284953,0.934022730574334,0.943096230465151,0.934752119945192,0.888621376482119,0.0139881575246691,0.861205091523695,0.916037661440543,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18
3,1.56087955184853,0.176249139757943,1.21543758561679,1.90632151808026,1.42186636152583,0.170270659286917,1.08814200169958,1.75559072135208,0.929772423231597,0.00526794956056694,0.919447431820513,0.940097414642682,0.921107417290302,0.846966142199585,0.0203203147735393,0.807139057088931,0.886793227310239,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18
4,1.35138803595364,0.159501548246366,1.03877074591238,1.66400532599489,1.19547093617026,0.143940764285496,0.913352222263517,1.477589650077,0.919706323016008,0.00908413694304079,0.901901741777019,0.937510904254998,0.904764247417524,0.813594726108242,0.0262964842023724,0.762054564151566,0.865134888064919,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18
5,0.980214666439431,0.143964557476381,0.698049318735477,1.26238001414338,0.779958048992715,0.098300648598411,0.587292318082902,0.972623779902529,0.839399021064922,0.0525013153732857,0.736498333792303,0.942299708337541,0.75304204205345,0.667910861989379,0.069730287026171,0.531242010786443,0.804579713192314,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18
6,0.910900981427938,0.128554759365893,0.658938283029576,1.1628636798263,0.694396110664604,0.091223693455183,0.515600956955723,0.873191264373485,0.77257027082998,0.102305441666008,0.57205528974214,0.973085251917819,0.604292794048774,0.588944135770346,0.109792797715394,0.373754206486283,0.80413406505441,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18
1,2.83385114856947,0.312145834754825,2.22205655452582,3.44564574261312,2.73061610178176,0.324966093627922,2.09369426207436,3.36753794148915,0.941421105815788,0.00143735504782487,0.938603941689054,0.944238269942521,0.939056867152156,0.907125849357137,0.0114112726473956,0.884760165950474,0.929491532763799,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,24
2,2.26196022996079,0.26258700772949,1.74729915200285,2.77662130791873,2.12196661875093,0.253105410532194,1.62588912981561,2.61804410768626,0.937158338728631,0.00274795003876372,0.931772455621339,0.942544221835924,0.932638363140689,0.879157239338689,0.0152500216499765,0.849267746141279,0.909046732536099,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,24
3,1.61570596408826,0.189477923240748,1.24433605867095,1.98707586950558,1.42771096920899,0.17184847478087,1.09089414784035,1.76452779057764,0.920296912832838,0.00879453258927591,0.903059945696994,0.937533879968683,0.905831194006025,0.813216034714617,0.0260543925904413,0.762150363598285,0.864281705830949,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24
4,1.53650513389527,0.193285104381445,1.15767329055957,1.91533697723096,1.34142452634681,0.161907712418862,1.02409124118657,1.65875781150705,0.915242436192802,0.0108371075801262,0.894002095639169,0.936482776746436,0.897416980483968,0.79903973268866,0.0288423512449233,0.742509763019156,0.855569702358164,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24
5,1.08260227446016,0.173104270580445,0.743324138552412,1.42188041036791,0.822471565061059,0.107573565887184,0.611631250233632,1.03331187988849,0.779416133132549,0.091659023656794,0.599767747907128,0.95906451835797,0.62865045562784,0.592135839702558,0.101222895503548,0.393742610104742,0.790529069300373,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24
6,1.03490980701182,0.156791521978526,0.727604070852693,1.34221554317096,0.758659738703523,0.103974373997067,0.554873710354173,0.962445767052873,0.709872222256495,0.142421315386256,0.430731573468613,0.989012871044378,0.475610005088213,0.520384936929918,0.13861014253102,0.248714049677156,0.79205582418268,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24
