"spike_index","K0","hat_lambda","mhat1","mhat2","mhat3","mhat4","hat_alpha","hat_Delta","hat_r2","d_alpha","d_Delta","d_r2","se_alpha","se_Delta","se_r2","ci_alpha_lower","ci_alpha_upper","ci_Delta_lower","ci_Delta_upper","ci_r2_lower","ci_r2_upper","ci_r2_display_lower","ci_r2_display_upper","phase_lower_bound","phase_certified","sample_gap_previous","sample_gap_next","minimum_neighbor_gap","previous_relative_gap","next_relative_gap","relative_neighbor_gap","phase_interior","separation_pass","regular_inference_valid","inference_status","K0_sensitivity","domain_hours"
1,6,1.65080212076858,-0.601397277726042,0.37729675576091,-0.237087552855127,0.149252000586065,1.66279435746887,0.958605342171261,0.965569121791393,1.04318216893615,0.00195152973957824,0.0228227662019657,0.196104693455238,0.000366862234367996,0.00429038350454298,1.27843622109733,2.0471524938404,0.957886305404612,0.95932437893791,0.957160124642624,0.973978118940162,0.957160124642624,0.973978118940162,0.958001907494469,1,Inf,0.527397003618219,0.527397003618219,Inf,0.319479237991694,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",6,6
2,6,1.12340511715036,-0.899156858514531,0.845264988669799,-0.798081022353888,0.757462210360228,1.11215300259408,0.956484732067322,0.946904505297614,1.04549499482195,0.00787090688507175,0.05505507005758,0.131309118548892,0.00098854786524845,0.00691465072211034,0.854791859396555,1.36951414579161,0.954547213854441,0.958422250280203,0.933352038916604,0.960456971678624,0.933352038916604,0.960456971678624,0.954858715525753,1,0.527397003618219,0.431127630491632,0.431127630491632,0.319479237991694,0.383768619093737,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",6,6
3,6,0.692277486658729,-1.51553431019835,2.42646837678971,-3.96268675407216,6.65282498063188,0.659833296594336,0.946579097159793,0.902216839638664,1.05643575164558,0.0606646046283705,0.199070010329257,0.0783114274911372,0.00449694340543953,0.0147566538289492,0.506345719133787,0.813320874054884,0.937765250044617,0.955392944274969,0.873294329601599,0.93113934967573,0.873294329601599,0.93113934967573,0.93918228348916,1,0.431127630491632,0.114163819679418,0.114163819679418,0.383768619093737,0.164910490200149,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",6,6
4,6,0.578113666979311,-1.85659626165773,3.68505180765821,-7.62047207387144,16.7753563968461,0.538620065467068,0.935387033538597,0.871486446383624,1.06907618359533,0.155459066618157,0.367137015398205,0.0643067000486794,0.00935111989235521,0.0220838984987776,0.412581249407036,0.6646588815271,0.917059175334464,0.953714891742729,0.828202800687782,0.914770092079467,0.828202800687782,0.914770092079467,0.920005810067598,1,0.114163819679418,0.138228377458452,0.114163819679418,0.164910490200149,0.239102421121967,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",6,6
5,6,0.439885289520859,-2.58034551104381,7.59375472268793,-27.0202810789878,129.701354296188,0.387544999582431,0.876797210274808,0.77247042032242,1.14051457769417,1.07899091025475,1.46785338569747,0.0477905387349418,0.0452125364284532,0.0615068894851082,0.293877264860179,0.481212734304683,0.788182267225335,0.965412153324281,0.651919132130522,0.893021708514317,0.651919132130522,0.893021708514317,0.802429205746791,1,0.138228377458452,0.0890150027583765,0.0890150027583765,0.239102421121967,0.20235958073373,0.20235958073373,TRUE,TRUE,TRUE,"regular_separated",6,6
6,6,0.350870286762482,-3.80253740921953,38.352144237175,-1458.26213433465,79516.2458426005,0.262982291134185,0.377013881129976,0.282577288501119,2.65242223178316,21.0652943567727,17.8334339524587,0.0494557967254532,0.392773406581655,0.332513682739218,0.166050710725563,0.359913871542807,-0.392807849855175,1.14683561211513,-0.369137554034527,0.934292131036764,0,0.934292131036764,-0.269040881255945,0,0.0890150027583765,0.0171311304617797,0.0171311304617797,0.20235958073373,0.0488246828189712,0.0488246828189712,FALSE,FALSE,FALSE,"phase_not_certified",6,6
1,8,1.65080212076858,-0.591373759110635,0.369760686104024,-0.231421079747371,0.144990878634941,1.69097797221151,0.94580883286834,0.968827142988417,1.05729611021639,0.00115390538986526,0.020065448905796,0.200773151346672,0.000219118579214051,0.00381028868930367,1.29746982650942,2.0844861179136,0.945379368344737,0.946238297391944,0.961359114386681,0.976295171590152,0.961359114386681,0.976295171590152,0.945448414878588,1,Inf,0.527397003618219,0.527397003618219,Inf,0.319479237991694,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",8,6
2,8,1.12340511715036,-0.882546684541307,0.824566992218264,-0.772282132393781,0.725296573448049,1.13308453537474,0.944603237511937,0.952742073317821,1.05864553527678,0.00432066135116393,0.0464245715508819,0.134619187697768,0.000549422731243809,0.00590342839330325,0.869235775859073,1.3969332948904,0.943526388746412,0.945680086277463,0.941171566281636,0.964312580354007,0.941171566281636,0.964312580354007,0.943699517539721,1,0.527397003618219,0.431127630491632,0.431127630491632,0.319479237991694,0.383768619093737,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",8,6
3,8,0.692277486658729,-1.47962819390489,2.32965144049443,-3.70129894152758,5.94623587475166,0.675845461798683,0.939754142677068,0.917447966710937,1.06410810507449,0.0268650148397036,0.145474370596248,0.0805025515720625,0.00203240839187675,0.0110055152906837,0.518063360053863,0.833627563543504,0.935770695427113,0.943737589927024,0.895877553109893,0.939018380311982,0.895877553109893,0.939018380311982,0.936411128362243,1,0.431127630491632,0.114163819679418,0.114163819679418,0.383768619093737,0.164910490200149,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",8,6
4,8,0.578113666979311,-1.80470851382772,3.48259043306544,-6.82840547009823,13.668591394281,0.554106102086833,0.935215576588895,0.896378493285314,1.06927218176519,0.0579858907403255,0.234818601189891,0.066161666424306,0.00358790140237664,0.0145294998103293,0.42443161873804,0.683780585435626,0.928183419060156,0.942247734117634,0.867901196943688,0.924855789626941,0.867901196943688,0.924855789626941,0.929314003954052,1,0.114163819679418,0.138228377458452,0.114163819679418,0.164910490200149,0.239102421121967,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",8,6
