"dataset","filename","plot_data_file","setting","quantity","comparison","method_scope","source_run_id"
"eegmmidb","manuscript/real_data/eegmmidb/eegmmidb_spectrum.pdf","output/real_data/eegmmidb/eegmmidb_spectrum.csv","EEGMMIDB R04; n=105","sample spectrum","none","FPCA","real_eegmmidb_run4_n-subjects105_p-channels64_n-time-points80_band-hz8-30_output-hz20_K010_J6_cfg00d16ade"
"eegmmidb","manuscript/real_data/eegmmidb/eegmmidb_phase_reliability.pdf","output/real_data/eegmmidb/eegmmidb_phase_reliability.csv","EEGMMIDB R04; primary K0=10","phase margin and reliability estimates","sample PCs 1--6","Proposed","real_eegmmidb_run4_n-subjects105_p-channels64_n-time-points80_band-hz8-30_output-hz20_K010_J6_cfg00d16ade"
"capture24","manuscript/real_data/capture24/capture24_spectrum_24h.pdf","output/real_data/capture24/capture24_spectrum_24h.csv","24-hour wake-aligned curve","sample spectrum","leading regular PCs and remaining spectrum","FPCA","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_effective_rank.pdf","output/real_data/capture24/capture24_effective_rank.csv","6, 12, 18, and 24 hours","effective rank","none","FPCA","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_pc_reliability.pdf","output/real_data/capture24/capture24_pc_reliability.csv","6, 12, 18, and 24 hours","r2 estimate","PC1 and PC2","Proposed","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_pc1_pve.pdf","output/real_data/capture24/capture24_pc1_pve.csv","6, 12, 18, and 24 hours","sample FPCA PVE","none","FPCA","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_pc1_eigenvalue_comparison.pdf","output/real_data/capture24/capture24_pc1_eigenvalue_comparison.csv","PC1; 6, 12, 18, and 24 hours","sample eigenvalue and corrected spike estimate","FPCA and Proposed","Both","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_pc2_eigenvalue_comparison.pdf","output/real_data/capture24/capture24_pc2_eigenvalue_comparison.csv","PC2; 6, 12, 18, and 24 hours","sample eigenvalue and corrected spike estimate","FPCA and Proposed","Both","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_mean_function.pdf","output/real_data/capture24/capture24_mean_function.csv","24-hour wake-aligned function","mean_log1p_enmo_mg","none","Proposed","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_pc1_function.pdf","output/real_data/capture24/capture24_pc1_function.csv","24-hour wake-aligned function","PC1_function","none","Proposed","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_pc2_function.pdf","output/real_data/capture24/capture24_pc2_function.csv","24-hour wake-aligned function","PC2_function","none","Proposed","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"capture24","manuscript/real_data/capture24/capture24_pc3_function.pdf","output/real_data/capture24/capture24_pc3_function.csv","24-hour wake-aligned function","PC3_function","none","Proposed","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
